,id,Response
0,381110,0
1,381111,0
2,381112,0
3,381113,0
4,381114,0
5,381115,0
6,381116,0
7,381117,0
8,381118,1
9,381119,1
10,381120,1
11,381121,1
12,381122,0
13,381123,1
14,381124,0
15,381125,0
16,381126,0
17,381127,0
18,381128,0
19,381129,0
20,381130,0
21,381131,0
22,381132,1
23,381133,1
24,381134,1
25,381135,0
26,381136,0
27,381137,0
28,381138,0
29,381139,0
30,381140,0
31,381141,0
32,381142,0
33,381143,0
34,381144,0
35,381145,0
36,381146,0
37,381147,0
38,381148,0
39,381149,0
40,381150,1
41,381151,1
42,381152,0
43,381153,1
44,381154,0
45,381155,0
46,381156,0
47,381157,0
48,381158,1
49,381159,0
50,381160,1
51,381161,0
52,381162,0
53,381163,0
54,381164,0
55,381165,0
56,381166,0
57,381167,0
58,381168,0
59,381169,0
60,381170,0
61,381171,0
62,381172,1
63,381173,0
64,381174,0
65,381175,0
66,381176,0
67,381177,0
68,381178,0
69,381179,0
70,381180,0
71,381181,0
72,381182,0
73,381183,0
74,381184,1
75,381185,0
76,381186,1
77,381187,0
78,381188,0
79,381189,1
80,381190,0
81,381191,0
82,381192,0
83,381193,0
84,381194,0
85,381195,0
86,381196,0
87,381197,0
88,381198,1
89,381199,0
90,381200,0
91,381201,0
92,381202,0
93,381203,1
94,381204,0
95,381205,0
96,381206,0
97,381207,0
98,381208,0
99,381209,0
100,381210,0
101,381211,0
102,381212,1
103,381213,0
104,381214,0
105,381215,0
106,381216,0
107,381217,0
108,381218,1
109,381219,0
110,381220,0
111,381221,0
112,381222,0
113,381223,0
114,381224,0
115,381225,1
116,381226,0
117,381227,1
118,381228,0
119,381229,0
120,381230,0
121,381231,0
122,381232,0
123,381233,0
124,381234,1
125,381235,0
126,381236,1
127,381237,0
128,381238,0
129,381239,0
130,381240,0
131,381241,0
132,381242,0
133,381243,0
134,381244,1
135,381245,0
136,381246,0
137,381247,0
138,381248,0
139,381249,0
140,381250,0
141,381251,0
142,381252,0
143,381253,0
144,381254,0
145,381255,0
146,381256,1
147,381257,0
148,381258,1
149,381259,1
150,381260,0
151,381261,1
152,381262,0
153,381263,0
154,381264,1
155,381265,0
156,381266,0
157,381267,0
158,381268,0
159,381269,1
160,381270,0
161,381271,0
162,381272,0
163,381273,0
164,381274,0
165,381275,0
166,381276,0
167,381277,0
168,381278,1
169,381279,1
170,381280,0
171,381281,1
172,381282,0
173,381283,0
174,381284,0
175,381285,0
176,381286,0
177,381287,1
178,381288,0
179,381289,1
180,381290,1
181,381291,0
182,381292,0
183,381293,0
184,381294,1
185,381295,0
186,381296,0
187,381297,0
188,381298,0
189,381299,1
190,381300,0
191,381301,0
192,381302,0
193,381303,0
194,381304,0
195,381305,0
196,381306,1
197,381307,0
198,381308,1
199,381309,0
200,381310,0
201,381311,0
202,381312,0
203,381313,1
204,381314,0
205,381315,0
206,381316,0
207,381317,0
208,381318,0
209,381319,0
210,381320,0
211,381321,1
212,381322,0
213,381323,0
214,381324,0
215,381325,0
216,381326,0
217,381327,1
218,381328,0
219,381329,0
220,381330,0
221,381331,0
222,381332,0
223,381333,0
224,381334,0
225,381335,0
226,381336,0
227,381337,0
228,381338,0
229,381339,0
230,381340,0
231,381341,0
232,381342,0
233,381343,0
234,381344,0
235,381345,0
236,381346,0
237,381347,0
238,381348,0
239,381349,0
240,381350,0
241,381351,0
242,381352,1
243,381353,0
244,381354,0
245,381355,1
246,381356,0
247,381357,0
248,381358,0
249,381359,0
250,381360,0
251,381361,0
252,381362,1
253,381363,0
254,381364,0
255,381365,1
256,381366,0
257,381367,0
258,381368,0
259,381369,1
260,381370,0
261,381371,1
262,381372,0
263,381373,0
264,381374,0
265,381375,0
266,381376,0
267,381377,0
268,381378,1
269,381379,0
270,381380,0
271,381381,1
272,381382,0
273,381383,0
274,381384,1
275,381385,0
276,381386,1
277,381387,0
278,381388,0
279,381389,1
280,381390,0
281,381391,0
282,381392,1
283,381393,0
284,381394,0
285,381395,0
286,381396,0
287,381397,1
288,381398,0
289,381399,0
290,381400,0
291,381401,0
292,381402,1
293,381403,0
294,381404,0
295,381405,1
296,381406,0
297,381407,1
298,381408,0
299,381409,0
300,381410,0
301,381411,1
302,381412,0
303,381413,0
304,381414,0
305,381415,0
306,381416,0
307,381417,1
308,381418,0
309,381419,0
310,381420,0
311,381421,0
312,381422,0
313,381423,0
314,381424,0
315,381425,1
316,381426,1
317,381427,0
318,381428,0
319,381429,1
320,381430,0
321,381431,1
322,381432,1
323,381433,1
324,381434,0
325,381435,0
326,381436,1
327,381437,1
328,381438,1
329,381439,0
330,381440,0
331,381441,1
332,381442,0
333,381443,0
334,381444,0
335,381445,0
336,381446,0
337,381447,0
338,381448,0
339,381449,0
340,381450,1
341,381451,0
342,381452,1
343,381453,0
344,381454,0
345,381455,0
346,381456,0
347,381457,0
348,381458,0
349,381459,0
350,381460,0
351,381461,0
352,381462,0
353,381463,1
354,381464,0
355,381465,0
356,381466,0
357,381467,0
358,381468,0
359,381469,1
360,381470,1
361,381471,0
362,381472,0
363,381473,0
364,381474,0
365,381475,0
366,381476,0
367,381477,0
368,381478,1
369,381479,0
370,381480,0
371,381481,1
372,381482,0
373,381483,0
374,381484,0
375,381485,0
376,381486,0
377,381487,0
378,381488,0
379,381489,1
380,381490,1
381,381491,0
382,381492,1
383,381493,0
384,381494,1
385,381495,0
386,381496,1
387,381497,0
388,381498,0
389,381499,1
390,381500,0
391,381501,0
392,381502,1
393,381503,0
394,381504,0
395,381505,0
396,381506,0
397,381507,0
398,381508,0
399,381509,1
400,381510,1
401,381511,1
402,381512,0
403,381513,0
404,381514,0
405,381515,0
406,381516,0
407,381517,0
408,381518,0
409,381519,0
410,381520,1
411,381521,1
412,381522,0
413,381523,0
414,381524,0
415,381525,0
416,381526,0
417,381527,0
418,381528,0
419,381529,0
420,381530,1
421,381531,0
422,381532,0
423,381533,0
424,381534,0
425,381535,1
426,381536,0
427,381537,0
428,381538,0
429,381539,1
430,381540,0
431,381541,0
432,381542,0
433,381543,0
434,381544,1
435,381545,0
436,381546,1
437,381547,0
438,381548,1
439,381549,1
440,381550,0
441,381551,1
442,381552,0
443,381553,0
444,381554,0
445,381555,0
446,381556,1
447,381557,0
448,381558,0
449,381559,0
450,381560,0
451,381561,0
452,381562,0
453,381563,1
454,381564,0
455,381565,1
456,381566,0
457,381567,0
458,381568,1
459,381569,0
460,381570,0
461,381571,1
462,381572,0
463,381573,0
464,381574,0
465,381575,0
466,381576,0
467,381577,0
468,381578,0
469,381579,0
470,381580,0
471,381581,0
472,381582,0
473,381583,0
474,381584,0
475,381585,0
476,381586,1
477,381587,0
478,381588,1
479,381589,0
480,381590,0
481,381591,0
482,381592,1
483,381593,0
484,381594,0
485,381595,1
486,381596,0
487,381597,0
488,381598,0
489,381599,0
490,381600,0
491,381601,0
492,381602,0
493,381603,1
494,381604,0
495,381605,0
496,381606,0
497,381607,0
498,381608,0
499,381609,0
500,381610,0
501,381611,0
502,381612,1
503,381613,0
504,381614,0
505,381615,0
506,381616,1
507,381617,0
508,381618,0
509,381619,0
510,381620,1
511,381621,0
512,381622,0
513,381623,1
514,381624,0
515,381625,0
516,381626,0
517,381627,0
518,381628,1
519,381629,1
520,381630,0
521,381631,0
522,381632,1
523,381633,1
524,381634,0
525,381635,0
526,381636,0
527,381637,0
528,381638,0
529,381639,0
530,381640,0
531,381641,1
532,381642,0
533,381643,0
534,381644,0
535,381645,0
536,381646,1
537,381647,0
538,381648,1
539,381649,0
540,381650,0
541,381651,0
542,381652,0
543,381653,0
544,381654,0
545,381655,0
546,381656,0
547,381657,0
548,381658,0
549,381659,0
550,381660,0
551,381661,0
552,381662,0
553,381663,0
554,381664,0
555,381665,1
556,381666,1
557,381667,0
558,381668,0
559,381669,0
560,381670,0
561,381671,0
562,381672,0
563,381673,0
564,381674,0
565,381675,0
566,381676,0
567,381677,0
568,381678,0
569,381679,0
570,381680,0
571,381681,0
572,381682,0
573,381683,0
574,381684,0
575,381685,0
576,381686,0
577,381687,0
578,381688,0
579,381689,1
580,381690,1
581,381691,0
582,381692,0
583,381693,1
584,381694,0
585,381695,0
586,381696,0
587,381697,1
588,381698,0
589,381699,0
590,381700,0
591,381701,1
592,381702,1
593,381703,0
594,381704,0
595,381705,1
596,381706,0
597,381707,0
598,381708,0
599,381709,0
600,381710,0
601,381711,0
602,381712,0
603,381713,0
604,381714,0
605,381715,0
606,381716,0
607,381717,0
608,381718,1
609,381719,0
610,381720,0
611,381721,1
612,381722,0
613,381723,0
614,381724,1
615,381725,0
616,381726,0
617,381727,0
618,381728,0
619,381729,0
620,381730,0
621,381731,0
622,381732,0
623,381733,0
624,381734,0
625,381735,0
626,381736,0
627,381737,1
628,381738,1
629,381739,0
630,381740,0
631,381741,0
632,381742,0
633,381743,0
634,381744,0
635,381745,0
636,381746,0
637,381747,0
638,381748,0
639,381749,1
640,381750,0
641,381751,0
642,381752,1
643,381753,0
644,381754,0
645,381755,0
646,381756,0
647,381757,0
648,381758,0
649,381759,0
650,381760,0
651,381761,0
652,381762,1
653,381763,0
654,381764,0
655,381765,1
656,381766,0
657,381767,0
658,381768,0
659,381769,0
660,381770,0
661,381771,0
662,381772,1
663,381773,0
664,381774,0
665,381775,0
666,381776,0
667,381777,0
668,381778,1
669,381779,0
670,381780,0
671,381781,1
672,381782,0
673,381783,0
674,381784,0
675,381785,0
676,381786,0
677,381787,0
678,381788,1
679,381789,0
680,381790,0
681,381791,1
682,381792,0
683,381793,0
684,381794,0
685,381795,1
686,381796,0
687,381797,1
688,381798,0
689,381799,0
690,381800,0
691,381801,0
692,381802,0
693,381803,1
694,381804,0
695,381805,0
696,381806,0
697,381807,0
698,381808,0
699,381809,0
700,381810,0
701,381811,1
702,381812,0
703,381813,0
704,381814,0
705,381815,0
706,381816,1
707,381817,0
708,381818,0
709,381819,0
710,381820,0
711,381821,0
712,381822,0
713,381823,0
714,381824,0
715,381825,0
716,381826,0
717,381827,0
718,381828,0
719,381829,1
720,381830,0
721,381831,0
722,381832,0
723,381833,0
724,381834,1
725,381835,1
726,381836,0
727,381837,0
728,381838,0
729,381839,0
730,381840,0
731,381841,0
732,381842,0
733,381843,0
734,381844,0
735,381845,1
736,381846,0
737,381847,0
738,381848,0
739,381849,0
740,381850,0
741,381851,0
742,381852,0
743,381853,0
744,381854,0
745,381855,1
746,381856,0
747,381857,0
748,381858,0
749,381859,1
750,381860,0
751,381861,0
752,381862,1
753,381863,0
754,381864,0
755,381865,0
756,381866,1
757,381867,1
758,381868,0
759,381869,0
760,381870,0
761,381871,0
762,381872,0
763,381873,0
764,381874,0
765,381875,0
766,381876,0
767,381877,0
768,381878,0
769,381879,0
770,381880,0
771,381881,0
772,381882,0
773,381883,0
774,381884,0
