date,Nike,Adidas,Under Armour
2021-05-06,100,28,4
2021-05-07,166,49,6
2021-05-08,246,93,8
2021-05-09,328,113,14
2021-05-10,396,131,14
2021-05-11,454,152,17
2021-05-12,521,171,17
2021-05-13,590,189,20
2021-05-14,650,198,22
2021-05-15,719,227,26
2021-05-16,763,242,26
2021-05-17,807,259,26
2021-05-18,871,269,31
2021-05-19,925,282,31
2021-05-20,982,297,33
2021-05-21,1029,312,35
2021-05-22,1096,334,39
2021-05-23,1149,359,47
2021-05-24,1210,367,47
2021-05-25,1263,382,47
2021-05-26,1314,399,49
2021-05-27,1364,422,51
2021-05-28,1405,439,51
2021-05-29,1452,461,53
2021-05-30,1505,477,55
2021-05-31,1554,487,55
2021-06-01,1592,502,55
2021-06-02,1643,517,57
2021-06-03,1696,533,57
2021-06-04,1728,549,59
2021-06-05,1784,578,59
2021-06-06,1831,598,63
2021-06-07,1871,611,63
2021-06-08,1910,622,63
2021-06-09,1968,638,68
2021-06-10,2023,671,71
2021-06-11,2069,683,74
2021-06-12,2131,703,76
2021-06-13,2189,742,80
2021-06-14,2278,776,80
2021-06-15,2309,796,85
2021-06-16,2367,824,87
2021-06-17,2457,842,87
2021-06-18,2499,862,89
2021-06-19,2552,891,95
2021-06-20,2593,911,95
2021-06-21,2636,931,97
2021-06-22,2681,956,97
2021-06-23,2717,980,99
2021-06-24,2774,988,101
2021-06-25,2831,1000,101
2021-06-26,2884,1028,103
2021-06-27,2935,1047,109
2021-06-28,2972,1061,112
2021-06-29,3010,1074,115
2021-06-30,3061,1086,117
2021-07-01,3123,1103,117
2021-07-02,3165,1115,122
2021-07-03,3216,1126,122
2021-07-04,3305,1145,124
2021-07-05,3355,1162,124
2021-07-06,3401,1189,131
2021-07-07,3453,1213,134
2021-07-08,3496,1225,134
2021-07-09,3552,1240,137
2021-07-10,3614,1267,137
2021-07-11,3671,1280,139
2021-07-12,3704,1312,141
2021-07-13,3750,1333,143
2021-07-14,3821,1356,143
2021-07-15,3872,1381,145
2021-07-16,3941,1403,147
2021-07-17,4033,1429,156
2021-07-18,4083,1450,156
2021-07-19,4130,1467,158
2021-07-20,4179,1480,158
2021-07-21,4243,1492,160
2021-07-22,4295,1507,162
2021-07-23,4370,1522,164
2021-07-24,4430,1535,164
2021-07-25,4492,1559,166
2021-07-26,4538,1576,166
2021-07-27,4596,1594,171
2021-07-28,4653,1619,179
2021-07-29,4712,1641,196
2021-07-30,4761,1665,199
2021-07-31,4810,1681,199
2021-08-01,4858,1696,199
2021-08-02,4900,1721,202
2021-08-03,4947,1738,204
