date,雅詩蘭黛,蘭寇,KATE,CD,CHANEL
2021-01-01,3,0,5,13,11
2021-01-02,6,2,2,11,15
2021-01-03,4,0,4,9,13
2021-01-04,4,0,1,1,12
2021-01-05,1,0,1,16,12
2021-01-06,7,0,4,12,15
2021-01-07,5,0,3,14,16
2021-01-08,10,0,0,10,20
2021-01-09,2,0,0,6,20
2021-01-10,10,0,6,18,21
2021-01-11,6,1,3,7,21
2021-01-12,4,0,6,10,17
2021-01-13,3,0,1,13,17
2021-01-14,3,0,0,14,14
2021-01-15,6,0,4,6,16
2021-01-16,8,0,5,11,12
2021-01-17,3,0,2,8,14
2021-01-18,4,0,10,10,10
2021-01-19,18,0,4,12,15
2021-01-20,4,0,1,8,12
2021-01-21,9,0,8,7,15
2021-01-22,7,0,4,12,13
2021-01-23,10,0,12,13,9
2021-01-24,10,0,6,12,18
2021-01-25,3,0,5,16,14
2021-01-26,8,0,3,13,9
2021-01-27,1,0,4,8,12
2021-01-28,5,0,1,4,18
2021-01-29,0,0,1,4,6
2021-01-30,8,0,5,9,15
2021-01-31,6,0,2,5,23
2021-02-01,4,0,4,5,10
2021-02-02,3,0,1,14,15
2021-02-03,1,1,0,11,14
2021-02-04,5,0,1,11,16
2021-02-05,4,0,6,7,7
2021-02-06,10,0,1,4,15
2021-02-07,6,0,6,12,15
2021-02-08,1,0,4,8,12
2021-02-09,6,0,7,10,17
2021-02-10,8,0,2,12,15
2021-02-11,2,0,3,12,31
2021-02-12,8,0,11,8,13
2021-02-13,0,0,5,13,14
2021-02-14,3,2,11,17,21
2021-02-15,3,0,9,10,19
2021-02-16,3,0,3,9,19
2021-02-17,5,0,4,14,15
2021-02-18,4,0,1,6,10
2021-02-19,5,0,5,12,8
2021-02-20,4,0,4,11,16
2021-02-21,6,0,4,10,13
2021-02-22,5,0,5,9,18
2021-02-23,5,0,3,13,14
2021-02-24,8,0,1,11,18
2021-02-25,6,0,3,10,12
2021-02-26,3,0,1,7,13
2021-02-27,11,0,4,14,25
2021-02-28,3,0,4,8,20
2021-03-01,3,0,6,13,14
2021-03-02,4,1,1,9,9
2021-03-03,8,0,7,8,14
2021-03-04,4,0,4,12,17
2021-03-05,1,0,7,10,14
2021-03-06,7,0,6,7,15
2021-03-07,10,0,7,15,24
2021-03-08,9,0,6,8,13
2021-03-09,3,0,4,13,14
2021-03-10,5,0,5,11,10
2021-03-11,3,0,5,10,17
2021-03-12,5,0,8,8,15
2021-03-13,1,0,4,10,10
2021-03-14,10,0,3,7,15
2021-03-15,8,0,3,14,12
2021-03-16,8,0,0,9,10
2021-03-17,8,0,3,17,15
2021-03-18,6,0,1,12,19
2021-03-19,1,0,4,8,18
2021-03-20,4,1,3,8,24
2021-03-21,7,1,0,14,26
2021-03-22,8,0,3,4,6
