StartDate,EndDate,Period,耐吉,愛迪達,安德瑪
07/11/2020,08/10/2020,07/11/2020~08/10/2020,1,405,102
08/10/2020,09/09/2020,08/10/2020~09/09/2020,1,470,92
09/09/2020,10/10/2020,09/09/2020~10/10/2020,1,407,72
10/10/2020,11/09/2020,10/10/2020~11/09/2020,1,196,39
11/09/2020,12/10/2020,11/09/2020~12/10/2020,1,361,111
12/10/2020,01/09/2021,12/10/2020~01/09/2021,2,355,71
01/09/2021,02/08/2021,01/09/2021~02/08/2021,2,320,55
02/08/2021,03/11/2021,02/08/2021~03/11/2021,2,303,52
03/11/2021,04/10/2021,03/11/2021~04/10/2021,2,932,103
04/10/2021,05/11/2021,04/10/2021~05/11/2021,2,1,71
05/11/2021,06/10/2021,05/11/2021~06/10/2021,1,213,33
06/10/2021,07/11/2021,06/10/2021~07/11/2021,1,165,125
