StartDate,EndDate,Period,Clinique倩碧,Lancome蘭寇,EsteeLauder雅詩蘭黛,Shiseido資生堂,ARTISTRY雅芝
07/11/2020,08/10/2020,07/11/2020~08/10/2020,122,4,870,870,870
08/10/2020,09/09/2020,08/10/2020~09/09/2020,95,4,1,1,1
09/09/2020,10/10/2020,09/09/2020~10/10/2020,176,6,1,1,1
10/10/2020,11/09/2020,10/10/2020~11/09/2020,81,4,861,861,861
11/09/2020,12/10/2020,11/09/2020~12/10/2020,197,9,1,1,1
12/10/2020,01/09/2021,12/10/2020~01/09/2021,160,25,785,785,785
01/09/2021,02/08/2021,01/09/2021~02/08/2021,212,2,704,704,704
02/08/2021,03/11/2021,02/08/2021~03/11/2021,227,3,675,675,675
03/11/2021,04/10/2021,03/11/2021~04/10/2021,211,211,1,1,1
04/10/2021,05/11/2021,04/10/2021~05/11/2021,326,2,1,1,1
05/11/2021,06/10/2021,05/11/2021~06/10/2021,160,160,499,499,499
06/10/2021,07/11/2021,06/10/2021~07/11/2021,232,3,1,1,1
